[],[],[],{9: 'H'},{9: 'H'},{9: 'M'},{9: 'M'},{9: 'L'},{9: 'L'},"{9: 'H', 8: 'H'}","{9: 'H', 8: 'H'}","{9: 'H', 8: 'M'}","{9: 'H', 8: 'M'}","{9: 'H', 8: 'L'}","{9: 'H', 8: 'L'}","{9: 'M', 8: 'M'}","{9: 'M', 8: 'M'}","{9: 'M', 8: 'L'}","{9: 'M', 8: 'L'}","{9: 'L', 8: 'L'}","{9: 'L', 8: 'L'}"
[],[],[],[9],"[8, 9]",[9],"[8, 9]",[9],"[8, 9]",[9],"[8, 9]",[9],"[8, 9]",[9],"[8, 9]",[9],"[8, 9]",[9],"[8, 9]",[9],"[8, 9]"
[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
{9: 'H'},[9],0.0,0.0,-0.6944,0.0,-0.6944,0.0,-0.6944,2.349,2.349,2.7657,2.7657,2.9046,2.9046,2.7657,2.7657,2.9046,2.9046,2.9046,2.9046
{9: 'H'},"[8, 9]",0.0,0.6944,0.0,0.2778,-0.4167,0.1389,-0.5556,3.0435,3.0435,3.4601,3.4601,3.599,3.599,3.0435,3.0435,3.1824,3.1824,3.0435,3.0435
{9: 'M'},[9],0.0,0.0,-0.2778,0.0,-0.2778,0.0,-0.2778,2.349,2.349,2.7657,2.7657,2.9046,2.9046,2.7657,2.7657,2.9046,2.9046,2.9046,2.9046
{9: 'M'},"[8, 9]",0.0,0.6944,0.4167,0.2778,0.0,0.1389,-0.1389,3.0435,3.0435,3.4601,3.4601,3.599,3.599,3.0435,3.0435,3.1824,3.1824,3.0435,3.0435
{9: 'L'},[9],0.0,0.0,-0.1389,0.0,-0.1389,0.0,-0.1389,2.349,2.349,2.7657,2.7657,2.9046,2.9046,2.7657,2.7657,2.9046,2.9046,2.9046,2.9046
{9: 'L'},"[8, 9]",0.0,0.6944,0.5556,0.2778,0.1389,0.1389,0.0,3.0435,3.0435,3.4601,3.4601,3.599,3.599,3.0435,3.0435,3.1824,3.1824,3.0435,3.0435
"{9: 'H', 8: 'H'}",[9],0.0,-3.0435,-3.7379,-3.0435,-3.7379,-3.0435,-3.7379,-0.6944,-0.6944,-0.2778,-0.2778,-0.1389,-0.1389,-0.2778,-0.2778,-0.1389,-0.1389,-0.1389,-0.1389
"{9: 'H', 8: 'H'}","[8, 9]",0.0,-2.349,-3.0435,-2.7657,-3.4601,-2.9046,-3.599,0.0,0.0,0.4167,0.4167,0.5556,0.5556,0.0,0.0,0.1389,0.1389,0.0,0.0
"{9: 'H', 8: 'M'}",[9],0.0,-3.0435,-3.7379,-3.0435,-3.7379,-3.0435,-3.7379,-0.6944,-0.6944,-0.2778,-0.2778,-0.1389,-0.1389,-0.2778,-0.2778,-0.1389,-0.1389,-0.1389,-0.1389
"{9: 'H', 8: 'M'}","[8, 9]",0.0,-2.349,-3.0435,-2.7657,-3.4601,-2.9046,-3.599,0.0,0.0,0.4167,0.4167,0.5556,0.5556,0.0,0.0,0.1389,0.1389,0.0,0.0
"{9: 'H', 8: 'L'}",[9],0.0,-3.0435,-3.7379,-3.0435,-3.7379,-3.0435,-3.7379,-0.6944,-0.6944,-0.2778,-0.2778,-0.1389,-0.1389,-0.2778,-0.2778,-0.1389,-0.1389,-0.1389,-0.1389
"{9: 'H', 8: 'L'}","[8, 9]",1.0,-2.349,-3.0435,-2.7657,-3.4601,-2.9046,-3.599,0.0,0.0,0.4167,0.4167,0.5556,0.5556,0.0,0.0,0.1389,0.1389,0.0,0.0
"{9: 'M', 8: 'M'}",[9],0.0,-3.0435,-3.3213,-3.0435,-3.3213,-3.0435,-3.3213,-0.6944,-0.6944,-0.2778,-0.2778,-0.1389,-0.1389,-0.2778,-0.2778,-0.1389,-0.1389,-0.1389,-0.1389
"{9: 'M', 8: 'M'}","[8, 9]",0.0,-2.349,-2.6268,-2.7657,-3.0435,-2.9046,-3.1824,0.0,0.0,0.4167,0.4167,0.5556,0.5556,0.0,0.0,0.1389,0.1389,0.0,0.0
"{9: 'M', 8: 'L'}",[9],0.0,-3.0435,-3.3213,-3.0435,-3.3213,-3.0435,-3.3213,-0.6944,-0.6944,-0.2778,-0.2778,-0.1389,-0.1389,-0.2778,-0.2778,-0.1389,-0.1389,-0.1389,-0.1389
"{9: 'M', 8: 'L'}","[8, 9]",0.0,-2.349,-2.6268,-2.7657,-3.0435,-2.9046,-3.1824,0.0,0.0,0.4167,0.4167,0.5556,0.5556,0.0,0.0,0.1389,0.1389,0.0,0.0
"{9: 'L', 8: 'L'}",[9],0.0,-3.0435,-3.1824,-3.0435,-3.1824,-3.0435,-3.1824,-0.6944,-0.6944,-0.2778,-0.2778,-0.1389,-0.1389,-0.2778,-0.2778,-0.1389,-0.1389,-0.1389,-0.1389
"{9: 'L', 8: 'L'}","[8, 9]",0.0,-2.349,-2.4879,-2.7657,-2.9046,-2.9046,-3.0435,0.0,0.0,0.4167,0.4167,0.5556,0.5556,0.0,0.0,0.1389,0.1389,0.0,0.0
